fighter,opponent,result,competition,weight,year,id_fight
master-helio-gracie,antonio-portugal,W,Unknown,ABS,1932,1
master-helio-gracie,takashi-namiki,D,Unknown,ABS,1932,2
master-helio-gracie,fred-ebert,D,Unknown,ABS,1932,3
master-helio-gracie,wladek-zbyszko,D,Unknown,ABS,1934,4
master-helio-gracie,miyake,W,Unknown,ABS,1934,5
master-helio-gracie,olando-silva,W,Unknown,ABS,1935,6
master-helio-gracie,yassuiti-ono,D,Unknown,ABS,1935,7
master-helio-gracie,takeo-yano,D,Unknown,ABS,1936,8
master-helio-gracie,massagoichi,W,Unknown,ABS,1936,9
master-helio-gracie,yassuiti-ono,D,Unknown,ABS,1936,10
master-helio-gracie,erwin-klausner,W,Unknown,ABS,1937,11
master-helio-gracie,landulfo-caribe,W,Unknown,ABS,1950,12
master-helio-gracie,azevedo-maia,W,Unknown,ABS,1950,13
master-helio-gracie,yukio-kato,D,Unknown,ABS,1951,14
master-helio-gracie,yukio-kato,W,Unknown,ABS,1951,15
master-helio-gracie,masahiko-kimura,L,Unknown,ABS,1951,16
master-helio-gracie,artur-emidio,D,Unknown,ABS,1954,17
master-helio-gracie,waldemar-santana,L,Unknown,ABS,1955,18
rolls-gracie,mauricio-robbe,W,Guanabara S.,ABS,1973,19
rolls-gracie,edir-da-silva,W,Mello Champ.,ABS,1975,20
rolls-gracie,sergio-iris,W,C. Interno,ABS,1976,21
rolls-gracie,paulo-boca,W,C. Zone Norte,ABS,1977,22
rickson-gracie,sergio-penha,W,AABB,88KG,1981,23
rickson-gracie,sergio-penha,W,AABB,ABS,1981,24
cassio-cardoso,carlos-elias,W,LINJJI,82KG,1983,25
cassio-cardoso,carlos-elias,W,LINJJI,82KG,1984,26
otavio-peixotinho,ze-paraiba,W,LINJJI,76KG,1984,27
otavio-peixotinho,sylvio-behring,W,LINJJI,76KG,1984,28
otavio-peixotinho,rodrigo-miranda,L,LINJJI,76KG,1984,29
otavio-peixotinho,rillion-gracie,W,LINJJI,ABS,1984,30
rickson-gracie,otavio-peixotinho,W,LINJJI,ABS,1984,31
otavio-peixotinho,rickson-gracie,L,LINJJI,ABS,1984,32
cassio-cardoso,carlos-machado,W,LINJJI,82KG,1984,33
cassio-cardoso,rigan-machado,W,LINJJI,ABS,1984,34
rigan-machado,cassio-cardoso,L,LINJJI,ABS,1984,35
otavio-peixotinho,gerson-mosquito,W,Copa Company,82KG,1985,36
otavio-peixotinho,rodrigo-miranda,L,Copa Company,82KG,1985,37
otavio-peixotinho,rodrigo-miranda,W,Copa do LINJI,82KG,1985,38
royler-gracie,pascoal-duarte,W,Vansport Cup,69KG,1985,39
cassio-cardoso,marcelo-behring,W,Vansport Cup,76KG,1985,40
rickson-gracie,rigan-machado,W,III Copa Company,ABS,1986,41
rigan-machado,rickson-gracie,L,III Copa Company,ABS,1986,42
cassio-cardoso,carlos-machado,W,III Copa Company,76KG,1986,43
cassio-cardoso,marcelo-behring,W,Desafio MB vs CC,ABS,1988,44
rickson-gracie,murilo-sa,W,Copa Cantao,UNKNOWN,1987,45
royler-gracie,de-la-riva,L,Copa Cantao,UNKNOWN,1987,46
renzo-gracie,de-la-riva,W,Brasileiro,76KG,1993,47
renzo-gracie,wallid-ismail,L,Desafio WxR,82KG,1993,48
wallid-ismail,renzo-gracie,W,Desafio WxR,82KG,1993,49
jean-jacques-machado,marcelo-alonso,W,Atlantico Sul,82KG,1991,50
jean-jacques-machado,wallid-ismail,W,Atlantico Sul,82KG,1991,51
wallid-ismail,jj-machado,L,Atlantico Sul,82KG,1991,52
alexandre-soca-freitas,marcelo-mendes,W,Brasileiro,70KG,1994,53
royler-gracie,alexandre-soca,W,Brasileiro,70KG,1994,54
alexandre-soca-freitas,royler-gracie,L,Brasileiro,70KG,1994,55
renzo-gracie,alexandr-silaev,W,Atlantico Sul,82KG,1994,56
renzo-gracie,rogerio,W,Atlantico Sul,82KG,1994,57
jose-mario-sperry,francisco-cuneo,W,Atlantico Sul,100KG,1994,58
rickson-gracie,rigan-machado,W,Unknown,ABS,1995,59
rigan-machado,rickson-gracie,L,Unknown,ABS,1995,60
nino-schembri,jorge-patino,W,Brasileiro,82KG,1995,61
jorge-patino-macaco,nino-schembri,L,Brasileiro,82KG,1995,62
alexandre-soca-freitas,eduardo-tita,W,Pan American,70KG,1996,63
alexandre-soca-freitas,joao-roque,L,Pan American,70KG,1996,64
marcio-feitosa,bob-bass,W,Pan American,76KG,1996,65
marcio-feitosa,cleber-luciano,W,Pan American,76KG,1996,66
marcio-feitosa,renato-barreto,W,Pan American,76KG,1996,67
jean-jacques-machado,eduardo-jamelao,L,Pan American,82KG,1996,68
roberto-roleta-magalhaes,ricardo-miller,W,Pan American,88KG,1996,69
saulo-ribeiro,roberto-roleta,L,Pan American,88KG,1996,70
roberto-roleta-magalhaes,saulo-ribeiro,W,Pan American,88KG,1996,71
rigan-machado,roberto-roleta,W,Pan American,ABS,1996,72
roberto-roleta-magalhaes,rigan-machado,L,Pan American,ABS,1996,73
saulo-ribeiro,roberto-correa,L,Pan American,ABS,1996,74
rigan-machado,eduardo-jamelao,W,Pan American,ABS,1996,75
alexandre-soca-freitas,marcelo-telo,W,Brasileiro,70KG,1996,76
alexandre-soca-freitas,paulo-coelho,W,Brasileiro,70KG,1996,77
roberto-roleta-magalhaes,carlos-pedro,W,Brasileiro,88KG,1996,78
saulo-ribeiro,ricardo-herriott,W,Brasileiro,88KG,1996,79
roberto-roleta-magalhaes,saulo-ribeiro,W,Brasileiro,88KG,1996,80
saulo-ribeiro,roberto-roleta,L,Brasileiro,88KG,1996,81
roberto-roleta-magalhaes,fabio-gurgel,L,Team Nationals,88KG,1996,82
wallid-ismail,roberto-roleta,L,World Champ.,88KG,1996,83
roberto-roleta-magalhaes,wallid-ismail,W,World Champ.,88KG,1996,84
roberto-roleta-magalhaes,luiz-duarte,W,World Champ.,88KG,1996,85
ricardo-liborio,leonardo-branco,W,World Champ.,100KG,1996,86
royler-gracie,marco-aurelio,W,World Champ.,70KG,1996,87
royler-gracie,vinicius-draculino,W,World Champ.,70KG,1996,88
ricardo-liborio,marcelo-figueiredo,W,World Champ.,ABS,1996,89
ricardo-liborio,remco-pardoel,W,World Champ.,ABS,1996,90
ricardo-liborio,leonardo-branco,W,World Champ.,ABS,1996,91
amaury-bitetti,fabio-gurgel,W,World Champ.,ABS,1996,92
robson-moura,armando-conde,W,World Champ.,64KG,1997,93
royler-gracie,luis-amigo,W,World Champ.,70KG,1997,94
royler-gracie,octavio-couto,W,World Champ.,70KG,1997,95
alexandre-soca-freitas,wellington-dias,W,World Champ.,70KG,1997,96
vitor-shaolin-ribeiro,marco-aurelio,W,World Champ.,70KG,1997,97
alexandre-soca-freitas,royler-gracie,L,World Champ.,70KG,1997,98
royler-gracie,alexandre-soca,W,World Champ.,70KG,1997,99
royler-gracie,vitor-shaolin,W,World Champ.,70KG,1997,100
vitor-shaolin-ribeiro,royler-gracie,L,World Champ.,70KG,1997,101
leo-vieira,r.-verissimo,W,World Champ.,76KG,1997,102
leo-vieira,marcio-feitosa,L,World Champ.,76KG,1997,103
marcio-feitosa,leonardo-vieira,W,World Champ.,76KG,1997,104
saulo-ribeiro,guilherme-santos,W,World Champ.,82KG,1997,105
nino-schembri,alexandr-silaev,W,World Champ.,82KG,1997,106
saulo-ribeiro,rony-rustico,W,World Champ.,82KG,1997,107
nino-schembri,saulo-ribeiro,L,World Champ.,82KG,1997,108
saulo-ribeiro,nino-schembri,W,World Champ.,82KG,1997,109
roberto-roleta-magalhaes,anderson-xavier,W,World Champ.,88KG,1997,110
jose-mario-sperry,paulo-teodoro,W,World Champ.,100KG,1997,111
saulo-ribeiro,mario-sperry,L,World Champ.,ABS,1997,112
jose-mario-sperry,saulo-ribeiro,W,World Champ.,ABS,1997,113
royler-gracie,arthur-ignarra,W,World Champ.,ABS,1997,114
royler-gracie,leo-davila,W,World Champ.,ABS,1997,115
amaury-bitetti,alexandr-silaev,W,World Champ.,ABS,1997,116
jose-mario-sperry,roberto-correa,W,World Champ.,ABS,1997,117
royler-gracie,amaury-bitetti,L,World Champ.,ABS,1997,118
amaury-bitetti,royler-gracie,W,World Champ.,ABS,1997,119
amaury-bitetti,fabio-gurgel,W,World Champ.,ABS,1997,120
alexandre-soca-freitas,vitor-shaolin,L,Team Nationals,88KG,1997,121
vitor-shaolin-ribeiro,alexandre-soca,W,Team Nationals,88KG,1997,122
vitor-shaolin-ribeiro,octavio-couto,W,Team Nationals,88KG,1997,123
jean-jacques-machado,james-boran,W,Joe Moreira Cup,76KG,1997,124
saulo-ribeiro,ricardo-americano,W,Copa Pele,UNKNOWN,1997,125
leo-vieira,vitor-shaolin,W,Copa Pele,76KG,1997,126
vitor-shaolin-ribeiro,leonardo-vieira,L,Copa Pele,76KG,1997,127
marcio-feitosa,royler-gracie,W,Copa Pele,UNKNOWN,1997,128
royler-gracie,marcio-feitosa,L,Copa Pele,UNKNOWN,1997,129
royler-gracie,leo-davila,W,Copacabana,ABS,1997,130
alexandre-soca-freitas,trevor-lally,W,ADCC,64KG,1998,131
alexandre-soca-freitas,marc,W,ADCC,64KG,1998,132
alexandre-soca-freitas,robin-gracie,W,ADCC,64KG,1998,133
renzo-gracie,frank-trigg,W,ADCC,76KG,1998,134
renzo-gracie,rodrigo-modrias,W,ADCC,76KG,1998,135
renzo-gracie,fabiano-iha,W,ADCC,76KG,1998,136
renzo-gracie,luis-brito,W,ADCC,76KG,1998,137
rodrigo-gracie,adrian-serrano,W,ADCC,88KG,1998,138
rodrigo-gracie,carlos-newton,W,ADCC,88KG,1998,139
rodrigo-gracie,ahmad-faraj,W,ADCC,88KG,1998,140
rodrigo-gracie,kareem-barkalev,W,ADCC,88KG,1998,141
jose-mario-sperry,muhammad-saleh,W,ADCC,98KG,1998,142
jose-mario-sperry,larry-parker,W,ADCC,98KG,1998,143
jose-mario-sperry,renato-verissimo,W,ADCC,98KG,1998,144
jose-mario-sperry,ricardo-alves,W,ADCC,98KG,1998,145
ricco-rodriguez,yousef-elzien,W,ADCC,98KG,1998,146
ricco-rodriguez,ricardo-moraes,W,ADCC,98KG,1998,147
ricco-rodriguez,firas-nakdali,W,ADCC,98KG,1998,148
ricco-rodriguez,sean-alvarez,W,ADCC,98KG,1998,149
jose-mario-sperry,oleg-taktarov,W,ADCC,ABS,1998,150
jose-mario-sperry,simon-siasi,W,ADCC,ABS,1998,151
robson-moura,luis-renato,W,Super Liga,64KG,1998,152
saulo-ribeiro,ze-marcello,W,Super Liga,ABS,1998,153
saulo-ribeiro,ismael-sousa,W,Super Liga,ABS,1998,154
saulo-ribeiro,leo-davila,W,Super Liga,ABS,1998,155
robson-moura,renato-sampaio,W,Super Liga,ABS,1998,156
jean-jacques-machado,roy-harris,W,BB Challenge,ABS,1998,157
nino-schembri,mario-pierro,W,Estadual RJ,82KG,1998,158
marcio-feitosa,andre-marola,W,Team Nationals,76KG,1998,159
robson-moura,fredson-alves,W,World Champ.,63KG,1998,160
royler-gracie,vinicius-cruz,W,World Champ.,70KG,1998,161
royler-gracie,marcos-aurelio,W,World Champ.,70KG,1998,162
royler-gracie,joao-roque,W,World Champ.,70KG,1998,163
royler-gracie,vinicius-draculino,W,World Champ.,70KG,1998,164
leo-vieira,marcio-feitosa,W,World Champ.,76KG,1998,165
marcio-feitosa,leonardo-vieira,L,World Champ.,76KG,1998,166
nino-schembri,rinaldo-santos,W,World Champ.,88KG,1998,167
saulo-ribeiro,anderson-xavier,W,World Champ.,94KG,1998,168
saulo-ribeiro,murilo-bustamante,W,World Champ.,94KG,1998,169
saulo-ribeiro,fabio-gurgel,W,World Champ.,94KG,1998,170
jose-mario-sperry,roberto-roleta,L,World Champ.,100KG,1998,171
roberto-roleta-magalhaes,mario-sperry,W,World Champ.,100KG,1998,172
roberto-roleta-magalhaes,leo-davila,W,World Champ.,100KG,1998,173
roberto-traven,roberto-godoi,W,World Champ.,100KG,1998,174
roberto-traven,otavio-duarte,W,World Champ.,100KG,1998,175
roberto-traven,john-machado,W,World Champ.,100KG,1998,176
roberto-roleta-magalhaes,vinicius-cruz,W,World Champ.,ABS,1998,177
roberto-roleta-magalhaes,murilo-bustamante,W,World Champ.,ABS,1998,178
jose-mario-sperry,royler-gracie,W,World Champ.,ABS,1998,179
royler-gracie,mario-sperry,L,World Champ.,ABS,1998,180
roberto-roleta-magalhaes,mario-sperry,L,World Champ.,ABS,1998,181
jose-mario-sperry,roberto-roleta,W,World Champ.,ABS,1998,182
amaury-bitetti,rayron-gracie,W,Brasileiro,88KG,1998,183
amaury-bitetti,anderson-xavier,W,Brasileiro,88KG,1998,184
nino-schembri,pedro-duarte,W,Oscar de JJ,ABS,1998,185
wallid-ismail,roger-gracie,W,Oscar de JJ,ABS,1998,186
saulo-ribeiro,fabio-gurgel,W,Oscar de JJ,94KG,1998,187
royler-gracie,marcio-feitosa,L,Oscar de JJ,76KG,1998,188
marcio-feitosa,royler-gracie,W,Oscar de JJ,76KG,1998,189
rodrigo-gracie,robert-ferguson,W,JBA Challenge,ABS,1999,190
alexandre-soca-freitas,vinicius-cruz,W,Brasileiro,70KG,1999,191
alexandre-soca-freitas,robson-moura,W,Brasileiro,70KG,1999,192
robson-moura,alexandre-soca,L,Brasileiro,70KG,1999,193
alexandre-soca-freitas,octavio-couto,W,Brasileiro,70KG,1999,194
alexandre-soca-freitas,marco-barbosa,L,Brasileiro,70KG,1999,195
leonardo-santos,suyan-queiroz,D,Brasileiro,82KG,1999,196
roberto-roleta-magalhaes,leo-davila,L,Brasileiro,88KG,1999,197
alexandre-cafe-dantas,gabriel-gonzaga,W,Brasileiro,100KG,1999,198
alexandre-cafe-dantas,daniel-simoes,L,Brasileiro,100KG,1999,199
amaury-bitetti,astregesio-reis,W,Brasileiro,ABS,1999,200
rodrigo-comprido-medeiros,murilo-bustamante,L,Brasileiro,ABS,1999,201
royler-gracie,marcos-matta,W,Pan American,70KG,1999,202
marcio-feitosa,wender-braga,W,Pan American,76KG,1999,203
nino-schembri,magrao,W,Pan American,ABS,1999,204
roberto-roleta-magalhaes,guigo,W,Pan American,ABS,1999,205
