Lutador,Elo Final,Cluster
gordon-ryan,2483,1
nicholas-meregali,2445,1
erich-munis,2419,1
tainan-dalpra,2399,1
jansen-gomes,2389,1
gabrieli-pessanha,2335,1
micael-galvao,2334,1
marcus-buchecha-almeida,2298,1
adam-wardzinski,2295,1
victor-hugo,2279,1
kaynan-duarte,2261,1
fellipe-andrew,2259,1
kade-ruotolo,2240,1
nick-rodriguez,2227,1
diego-pato-oliveira,2200,1
matheus-gabriel,2169,1
leandro-lo,2165,1
ronaldo-junior,2163,1
rafael-mendes,2157,1
dante-leon,2151,1
felipe-pena-preguica,2149,1
yuri-simoes,2147,1
cole-abate,2144,1
andre-galvao,2144,1
meyram-maquine,2143,1
andy-murasaki,2138,1
rodolfo-vieira,2138,1
roberto-cyborg-abreu,2134,1
roger-gracie,2129,1
rubens-charles-cobrinha,2129,1
vagner-rocha,2128,1
craig-jones,2124,1
alexander-trans,2102,1
yatan-bueno,2100,1
giancarlo-bodoni,2096,1
gustavo-batista,2090,1
bernardo-faria,2089,1
michael-musumeci,2085,1
joao-gabriel-rocha,2080,1
jonnatas-gracie,2078,1
pedro-marinho,2077,1
mason-fowler,2075,1
gutemberg-pereira,2075,1
roberto-jimenez,2066,1
diogo-reis,2062,1
ffion-davies,2054,1
lucas-lepri,2051,1
tim-spriggs,2049,1
alexandre-de-jesus,2046,1
roosevelt-sousa,2043,1
tye-ruotolo,2035,1
andrew-tackett,2035,1
joao-mendes,2031,1
deandre-corbe,2027,1
lucas-protasio,2026,1
tayane-porfirio,2009,1
augusto-mendes-tanquinho,2004,1
henrique-cardoso-ceconi,2003,1
luke-griffith,2001,1
jackson-nagai,1999,1
leonardo-ferreira,1998,1
fabricio-andrey,1997,1
felipe-bezerra,1997,1
diego-sodre,1996,1
nolan-stuart,1994,1
larissa-dias,1990,1
mahamed-aly,1989,1
keenan-cornelius,1988,1
luis-oliveira-cantareira,1978,1
isaac-doederlein,1977,1
khaled-alshehi,1977,1
lucas-hulk-barbosa,1976,1
adele-fornarino,1974,1
matheus-diniz,1973,1
janaina-lebre,1972,1
otavio-sousa,1969,1
levi-jones-leary,1969,1
rolando-samson,1964,1
elijah-dorsey,1964,1
uanderson-ferreira,1963,1
alex-sodre,1961,1
mayssa-bastos,1960,1
enderson-dias,1959,1
max-gimenis,1958,1
rafael-lovato-jr,1956,1
yara-soares,1954,1
samuel-nagai,1953,1
marcio-andre,1953,1
ryan-aitken,1953,1
lucas-valente,1951,1
inacio-dos-santos,1950,1
marcus-ribeiro,1944,1
tommy-langaker,1944,1
kennedy-maciel,1943,1
pedro-maia,1942,1
pedro-machado,1942,1
william-tackett,1942,1
johnatha-alves,1940,1
victor-honorio,1939,1
matheus-vetoraci,1937,1
vinicius-liberati,1936,1
horlando-monteiro,1936,1
marcelo-garcia,1930,1
charles-negromonte,1929,1
lucas-pinheiro,1928,1
thamara-ferreira,1926,1
isaque-bahiense,1924,1
paulo-merlin,1924,1
dimitrius-souza,1921,1
pedro-alex-bombom,1917,1
josh-hinger,1917,1
michael-langhi,1914,1
rider-zuchi,1914,1
oliver-taza,1912,1
pedro-ramalho,1911,1
ademir-barreto-araujo,1911,1
alef-soares,1910,1
gabriel-almeida,1905,1
helena-crevar,1898,1
paulo-miyao,1898,1
alex-enriquez,1897,1
mauricio-oliveira-neto,1897,1
thalison-soares,1895,1
bruno-malfacine,1895,1
lachlan-giles,1894,1
jt-torres,1894,1
davi-vetoraci,1891,1
guilherme-augusto,1888,1
yan-pica-pau-lucas,1888,1
keven-carrasco,1886,1
